ID,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
157072762.9514.9514,0.035714286,0.107142857,0.035714286,0.178571429,0,0.107142857,0.25,0.142857143,0.107142857,0.035714286
240149353.16332.16332,0,0,0,0,0,0,0,0,0,0
240149353.16340.16332,0.0625,0.0625,0.0625,0.125,0.0625,0.25,0.125,0.125,0.125,0
240153963.16690.16690,0,0,0,0,0,1,0,0,0,0
240786321.13311.13311,0,0,0.1,0.1,0.1,0.3,0.3,0,0,0.1
241131342.18768.18523,0,0,0,0,0,0,0,0,0,0
241131342.18781.18523,0.333333333,0,0,0.166666667,0,0,0.333333333,0.166666667,0,0
241132175.18826.18826,0,0,0,0,0,0.5,0.5,0,0,0
241133122.18853.18853,0.125,0.125,0,0.125,0,0.125,0.5,0,0,0
271340377.69106.69106,0,0,0,0,0,0,0,0,0,0
271340377.69116.69106,0.5,0,0.5,0,0,0,0,0,0,0
271369262.70124.70124,0,0,0.2,0.2,0.2,0.2,0,0,0,0.2
271372051.70131.70131,0,0,0,0,0,0,0,0,0,0
271737366.70124.2298,0,0,0.2,0.2,0.2,0.2,0,0,0,0.2
271266337.66158.66158,0,0,0.25,0,0.25,0.25,0.25,0,0,0
271266337.66174.66158,0.079365079,0.079365079,0.063492063,0.174603175,0.079365079,0.206349206,0.206349206,0.095238095,0.015873016,0
271282439.66561.66561,0,0.153846154,0.038461538,0.192307692,0.076923077,0.230769231,0.153846154,0.115384615,0,0.038461538
271287949.66776.66776,0,0,0,0,0,0,0,0,0,0
271288263.66804.66804,0.272727273,0.090909091,0.090909091,0.090909091,0,0.090909091,0.181818182,0.181818182,0,0
271289346.66880.66880,0.125,0.125,0,0.125,0,0.25,0.125,0.25,0,0
271291318.66957.66957,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0
271292038.67206.67206,0.058823529,0.058823529,0.058823529,0.176470588,0.058823529,0.294117647,0.117647059,0.058823529,0.058823529,0.058823529
271294928.67333.67333,0.076923077,0.025641026,0.076923077,0.179487179,0.076923077,0.230769231,0.128205128,0.076923077,0.076923077,0.051282051
200053269.20798.20798,0,0,0,0,0,0,0,0,0,0
200053269.20822.20798,0,0,0,0.5,0,0.5,0,0,0,0
200086014.20973.20973,0,0,0,0.5,0,0.5,0,0,0,0
200152267.21018.21018,0,0,0,0,0,0,0,0,0,0
200248222.21224.21224,0,0,0,0,0,0,0,0,0,0
200248222.21234.21224,0.181818182,0,0,0.090909091,0,0.272727273,0.181818182,0.181818182,0,0.090909091
200254615.21503.21503,0.083333333,0.083333333,0.166666667,0,0.083333333,0.416666667,0.083333333,0.083333333,0,0
200347348.545.545,0.103448276,0.068965517,0.034482759,0.137931034,0.034482759,0.275862069,0.172413793,0.068965517,0.034482759,0.068965517
200459434.1330.1330,0,0,0.222222222,0.333333333,0,0.333333333,0,0,0,0.111111111
200467748.1542.1542,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,0
193565323.8199.8199,0,0,0,0,0,1,0,0,0,0
193565323.8224.8199,0,0,0.2,0.2,0,0.4,0,0,0,0.2
193575344.8620.8620,0.125,0.083333333,0.041666667,0.166666667,0,0.25,0.125,0.083333333,0.083333333,0.041666667
193956162.8906.8906,0,0,0.166666667,0.333333333,0,0.333333333,0.166666667,0,0,0
193002106.7341.7341,0,0,0,0,0,0,0,0,0,0
193002106.7347.7341,0,0,0,0,0,0,1,0,0,0
193003212.7395.7395,0,0,0.5,0.5,0,0,0,0,0,0
193004314.7447.7447,0,0,0,0,0,0,0,0,0,0
193004699.7460.7460,0,0,0,0.5,0,0.5,0,0,0,0
193040185.7515.7515,0,0,0,0.5,0,0.5,0,0,0,0
193040581.7557.7557,0,0.2,0,0.2,0,0.2,0.2,0,0.2,0
322161962.9817.9817,0,0,0,0,0,0,0,0,0,0
322161962.9823.9817,0.083333333,0.083333333,0.041666667,0.166666667,0.083333333,0.208333333,0.125,0.041666667,0.041666667,0.125
322164067.9956.9956,0.090909091,0.090909091,0.181818182,0.090909091,0,0.181818182,0.181818182,0.090909091,0.090909091,0
322237019.10250.10250,0.142857143,0.142857143,0,0,0,0.428571429,0.142857143,0.142857143,0,0
323279527.11312.11312,0,0,0,0,0,0,0,0,0,0
323279527.11322.11312,0,0,0,0.222222222,0,0.777777778,0,0,0,0
323283223.11497.11497,0,0,0.25,0.25,0,0.25,0,0,0,0.25
324092348.11528.11528,0,0,0,0,0,0,0,0,0,0
324438134.11528.11528,0,0,0,0,0,0,0,0,0,0
408375548.1540.1540,0,0,0,0,0,0,0,0,0,0
408375548.1572.1540,0,0.5,0,0,0,0,0.5,0,0,0
408377354.1760.1760,0,0.5,0,0,0,0,0.5,0,0,0
410529544.1770.1770,0,0,0,0,0,0,0,0,0,0
623925770.1777.0,0,0,0,0,0,0,0,0,0,0
623925770.1789.0,0.230769231,0.076923077,0.153846154,0.076923077,0,0.153846154,0.153846154,0.076923077,0,0.076923077
623926352.2058.2058,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333
623927303.2076.2076,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0
623927515.2183.2183,0,0,0,0,0,0,0,0,0,0
623927938.2213.2213,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0.166666667
623928877.2282.2282,0,0.142857143,0,0.142857143,0,0.428571429,0.142857143,0.142857143,0,0
387118463.11252.11252,0,0,0,0,0,0,0,0,0,0
387118463.11266.11252,0.090909091,0.090909091,0,0.181818182,0,0.272727273,0.181818182,0.181818182,0,0
387142996.11371.11371,0,0,0,0,0,0,0,0,0,0
387144482.11425.11425,0.25,0.25,0,0,0,0,0.25,0.25,0,0
387147917.11497.11497,0.052631579,0.105263158,0.105263158,0.157894737,0.105263158,0.157894737,0.052631579,0.157894737,0,0.105263158
408844138.14894.14894,0,0,0,0,0,0,0,0,0,0
408898089.14907.14907,0,0,0,0,0,0,0,0,0,0
408899321.14921.14921,0,0.333333333,0,0,0,0,0.666666667,0,0,0
155716783.14696.14696,0,0,0,0,0,0,0,0,0,0
155716783.14713.14696,0,0,0,1,0,0,0,0,0,0
155749009.14772.14772,0,0,0,0,0,0,0,0,0,0
155820839.14788.14788,0.055555556,0.111111111,0,0.222222222,0,0.277777778,0.166666667,0,0.111111111,0.055555556
155594817.14064.14064,0,0,0,0,0,0,0,0,0,0
155594817.14077.14064,0,0.2,0.2,0,0,0.4,0,0,0.2,0
155595108.14120.14120,0.166666667,0.083333333,0,0.083333333,0.166666667,0.083333333,0.166666667,0.166666667,0,0.083333333
155596172.14168.14168,0,0,0,0,0,1,0,0,0,0
155598174.14375.14375,0.2,0.2,0,0,0.2,0,0.2,0.2,0,0
95273157.1954.1954,0,0,0,0,0,0,0,0,0,0
95273157.1969.1954,0,0,0,0,0,0,0,0,0,0
95273209.1991.1991,0,0,0,0,0,0,0,0,0,0
95273984.2019.2019,0.1,0.2,0,0,0.1,0.2,0.3,0.1,0,0
95274287.2192.2192,0,0,0.5,0,0,0.25,0.25,0,0,0
95274456.2317.2317,0,0,1,0,0,0,0,0,0,0
95274694.2395.2395,0.166666667,0,0,0.166666667,0,0,0.333333333,0.333333333,0,0
95275587.2487.2487,0,0,0,0,0,0,0,0,0,0
95276032.2512.2512,0,0,0,0,0,0,0,0,0,0
95442918.2563.2563,0.2,0.2,0,0,0,0.2,0.2,0.2,0,0
95445864.2626.2626,0,0,0,0,0,0,0,0,0,0
95448008.2635.2635,0,0,0,0.285714286,0,0.428571429,0,0,0,0.285714286
95449261.2697.2697,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0
95462014.2738.2738,0.111111111,0.111111111,0.111111111,0.055555556,0,0.222222222,0.333333333,0.055555556,0,0
95476797.2946.2946,0,0,0,0.5,0,0,0.5,0,0,0
95477166.3026.3026,0,0,0,0,0,1,0,0,0,0
83160877.1204.1204,0,0,0,0,0,0,0,0,0,0
83160877.1212.1204,0.047619048,0.047619048,0.095238095,0.19047619,0,0.333333333,0.19047619,0.095238095,0,0
83161082.1435.1435,0.111111111,0,0,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0,0
83162074.1498.1498,0.166666667,0,0.083333333,0.083333333,0,0.083333333,0.416666667,0.166666667,0,0
318141830.5953.5953,0,0,0,0,0,0,0,0,0,0
318141830.5963.5953,0.090909091,0.181818182,0.181818182,0,0,0.090909091,0.363636364,0.090909091,0,0
318142579.6253.6253,0.25,0,0,0,0,0.25,0.5,0,0,0
318143659.6371.6371,0,0,0,0.2,0,0.6,0,0,0,0.2
318144011.6444.6444,0.090909091,0,0.181818182,0.181818182,0,0.181818182,0.090909091,0,0.090909091,0.181818182
318421860.6510.6510,0,0,0,0,0,0,0,0,0,0
318573357.6538.6538,0,0.103448276,0.103448276,0.137931034,0,0.275862069,0.206896552,0,0.068965517,0.103448276
325209973.9766.9766,0,0,0,0,0,0,0,0,0,0
325209973.9776.9766,0,0,0,0.384615385,0,0.461538462,0.153846154,0,0,0
325244745.9952.9952,0,0,0.125,0.25,0,0.375,0,0,0,0.25
325294488.10053.10053,0.094339623,0.018867925,0.094339623,0.132075472,0.037735849,0.245283019,0.169811321,0.094339623,0.037735849,0.075471698
184206224.2971.2971,0,0,0,0,0,0,0,0,0,0
184206224.2982.2971,0.071428571,0.142857143,0,0.285714286,0,0.285714286,0.142857143,0.071428571,0,0
184234404.3345.3345,0,0,0,0,0,1,0,0,0,0
184243979.3435.3435,0,0,0,0,0,0,0,0,0,0
169077115.2098.2098,0,0,0,0,0,0,0,0,0,0
169077115.2112.2098,0.076923077,0,0.076923077,0.230769231,0,0.230769231,0.153846154,0.076923077,0,0.153846154
169080587.2278.2278,0,0,0,0,0,0,0,0,0,0
169207679.2397.2397,0,0,0,0,0,0,0,0,0,0
51451175.46444.46444,0,0,0,0,0,0,0,0,0,0
51451175.46452.46444,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0
51451323.46486.46486,0,0.2,0,0,0,0,0.6,0.2,0,0
51451721.46548.46548,0,0,0,0,0,0,0,0,0,0
44473697.13334.13334,0,0,0,0,0,0,0,0,0,0
44473697.13344.13334,0,0,0,0,0,0,0.5,0.5,0,0
44474698.13311.13580,0,0,0,0,0,0,0,0,0,0
44474912.13327.13327,0,0,0.125,0.125,0.125,0.25,0.125,0.125,0,0.125
44475242.13442.13442,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0.142857143
463673734.2155.2155,0,0,0,0,0,0,0,0,0,0
463673734.2170.2155,0,0,0,0,0,0,0,0,0,0
463838506.2299.2299,0,0,0.25,0.25,0,0.25,0,0,0,0.25
464225744.2389.2389,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333
484672227.2434.2434,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333,0.166666667,0.083333333,0.083333333,0.083333333,0.083333333
465151872.2417.2417,0,0,0,0,0,0,0,0,0,0
465151872.2431.2417,0,0,0,0,0,0,0,0,0,0
465173799.2454.2454,0,0,0,0,0,0,0,0,0,0
465291197.2545.2545,0,0,0,0.5,0,0.5,0,0,0,0
465344124.2616.2616,0.5,0,0.5,0,0,0,0,0,0,0
195353398.23337.23337,0,0,0,0,0,0,0,0,0,0
195353398.23351.23337,0.052631579,0,0.052631579,0.315789474,0.052631579,0.315789474,0.052631579,0.052631579,0.052631579,0.052631579
195373039.23575.23575,0.043478261,0.043478261,0.173913043,0.086956522,0.086956522,0.260869565,0.086956522,0.086956522,0,0.130434783
195600425.23764.23764,0,0,0,0,0,0,0,0,0,0
195353398.24272.23337,0,0,0,0,0,0,0,0,0,0
195353398.24282.23337,0.083333333,0.083333333,0.166666667,0.25,0,0.083333333,0.25,0.083333333,0,0
195370870.24434.24434,0,0,0,1,0,0,0,0,0,0
195486542.24800.24800,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0
195534010.24839.24839,0,0,0,0,0,0,0.5,0.25,0.25,0
370760170.48343.48343,0,0,0,0,0,1,0,0,0,0
370760170.48365.48343,0.029411765,0.088235294,0.088235294,0.147058824,0.088235294,0.205882353,0.176470588,0.088235294,0.058823529,0.029411765
370761582.49803.49803,0.121212121,0.060606061,0.151515152,0.151515152,0,0.242424242,0.151515152,0.090909091,0,0.03030303
371005095.54425.0,0,0,0,0,0,0,0,0,0,0
370454238.40262.40262,0,0,0,0,0,0,0,0,0,0
370454238.40276.40262,0.111111111,0.111111111,0,0.333333333,0,0.222222222,0.111111111,0.111111111,0,0
370476100.41272.41272,0.111111111,0,0.111111111,0,0.111111111,0.444444444,0.222222222,0,0,0
370486398.41328.41328,0,0.076923077,0.076923077,0.153846154,0.076923077,0.384615385,0,0,0.076923077,0.153846154
144384425.3276.3276,0,0,0,0,0,0,0,0,0,0
144384425.3282.3276,0.2,0,0,0.1,0,0.2,0.3,0.2,0,0
144475012.3437.3437,0,0,0,0,0.25,0.25,0.25,0.25,0,0
144968345.3472.3472,0.25,0.25,0,0,0,0.5,0,0,0,0
157901643.10900.10900,0,0,0,0,0,0,0,0,0,0
157901643.10908.10900,0,0,1,0,0,0,0,0,0,0
157902070.10947.10947,0,0,0,0,0,0,0,0,0,0
157902358.10997.10997,0,0,0.333333333,0.333333333,0,0.166666667,0.166666667,0,0,0
157908721.11241.11241,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333
157920934.11298.11298,0,0,0,0,0,0,0,0,0,0
226534237.12302.12302,0,0,0,0,0,0,0,0,0,0
226534237.12309.12302,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333
228327288.12384.12384,0,0,0,0.5,0,0.5,0,0,0,0
231343545.12837.12837,0,0,0,0.5,0,0.5,0,0,0,0
228260381.12384.12384,0,0,0,0,0,0,0,0,0,0
228260381.12395.12384,0,0.25,0.25,0.25,0,0.25,0,0,0,0
228311358.12415.12415,0,0,0.8,0.2,0,0,0,0,0,0
228327817.12625.12625,0,0,0.5,0,0,0,0.5,0,0,0
229896009.12675.12675,0,0.5,0,0,0.5,0,0,0,0,0
313175753.27706.27706,0,0,0,0,1,0,0,0,0,0
313199378.29694.30655,0,0,0,0.25,0,0.25,0.25,0,0,0.25
313262276.30655.30655,0.043478261,0.130434783,0.086956522,0.130434783,0,0.217391304,0.304347826,0.043478261,0.043478261,0
313329159.30733.30655,0,0,0,0,0,1,0,0,0,0
318028459.38631.38631,0,0,0,0,0,0,0,0,0,0
318028459.38637.38631,0.125,0,0.125,0,0.125,0.375,0.25,0,0,0
318033745.38709.38709,0.0625,0.25,0.125,0,0.0625,0.125,0.25,0.0625,0.0625,0
318168648.39010.39010,0.166666667,0,0,0.25,0,0.25,0.25,0.083333333,0,0
318743165.44594.44594,0,0,0,0,0,0.5,0.5,0,0,0
185302851.9838.9838,0,0,0,0,0,0,0,0,0,0
185302851.9847.9838,0.181818182,0.090909091,0.181818182,0.090909091,0.090909091,0.181818182,0.090909091,0,0,0.090909091
185351616.11090.11090,0,0,0.5,0,0,0,0.5,0,0,0
185399251.14293.14293,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333
185484974.15638.15638,0.2,0,0,0.2,0,0.2,0.2,0.2,0,0
185229633.7636.7636,0,0,0,0,0,0,0,0,0,0
185229633.7644.7636,0,0,0,0,0,0,0,0,0,0
185230458.7692.7692,0,0,0,0,0,0,0,0,0,0
185248261.7833.7833,0.5,0,0,0,0,0,0.5,0,0,0
185344365.8588.8588,0,0,0,0,0,0,1,0,0,0
336792863.10323.10323,1,0,0,0,0,0,0,0,0,0
336792863.10337.10323,0.1875,0.0625,0.125,0.125,0,0.1875,0.0625,0.1875,0,0.0625
336793878.10472.10472,0.25,0,0.5,0,0,0,0,0.25,0,0
336815722.10584.10584,1,0,0,0,0,0,0,0,0,0
336935299.10680.10680,0.142857143,0,0.142857143,0.142857143,0,0.285714286,0,0.142857143,0,0.142857143
337023912.10767.10767,0,0,0,0,0,0,0.5,0.5,0,0
337024496.10871.10871,0,0.25,0,0,0,0.25,0.25,0,0.25,0
337165032.10992.10992,0.25,0.25,0.125,0,0,0,0.375,0,0,0
145897597.3994.3994,0,0,0,0,0,0,0,0,0,0
145897597.4004.3994,0,0,0,0,0,1,0,0,0,0
145898573.4072.4072,0,0,0,0,0,0,0,0,0,0
145898879.4107.4107,0,0,0,0,0,1,0,0,0,0
145900583.4158.4158,0,0,0.2,0.1,0.1,0.2,0.2,0,0.1,0.1
60188809.28844.28844,0.25,0.25,0,0,0,0,0.25,0.25,0,0
60188809.28854.28844,0,0,0,0,0,0,0,0,0,0
60219453.29040.29040,0,0,0,0,0,0,0,0,0,0
60220074.29106.29106,0,0,0,0,0,0,0,0,0,0
53559800.44580.44580,0,0,0,0,0,0,0,0,0,0
53559800.44590.44580,0.2,0.2,0,0.1,0,0,0.3,0.2,0,0
53579612.44746.44746,0,0,0,0,0,0,1,0,0,0
53579873.44815.44815,0.111111111,0.111111111,0.111111111,0.222222222,0,0.222222222,0.111111111,0.111111111,0,0
53580708.44938.44938,0,0,0.125,0.375,0,0.125,0.25,0,0.125,0
26815453.51996.51996,0,0,0,0,0,0,0,0,0,0
26815453.52013.51996,0,0.090909091,0.090909091,0.181818182,0.090909091,0.090909091,0.363636364,0.090909091,0,0
26818605.52140.52140,0.1,0,0,0.2,0,0.2,0.4,0,0,0.1
26821165.52304.52304,0,0,0.111111111,0.222222222,0.111111111,0.333333333,0.222222222,0,0,0
26894863.52416.1542,0,0,0,0,0,0,0,0,0,0
26894863.52422.1542,0,0,0.166666667,0.166666667,0,0.5,0,0,0,0.166666667
26895021.52561.52561,0,0,0,0,0,0,0,0,0,0
26895165.52590.52590,0.25,0,0,0,0,0.25,0.25,0.25,0,0
26898054.52689.52689,0,0,0,0,0,0,0,0,0,0
26899757.52716.52716,0,0.1,0.1,0.2,0.1,0.2,0.1,0,0.1,0.1
15835089.3408.3408,0,0,0,0,0,0,0,0,0,0
15835089.3418.3408,0.2,0,0,0.2,0,0.4,0.2,0,0,0
15835449.3491.3491,0.166666667,0,0,0.166666667,0,0.333333333,0.333333333,0,0,0
15837294.3583.3583,0,0,0.5,0,0,0.5,0,0,0,0
15838573.3653.3653,0.095238095,0.047619048,0.095238095,0.142857143,0,0.238095238,0.19047619,0.095238095,0.047619048,0.047619048
15869198.3976.3976,0.166666667,0,0,0.333333333,0,0.333333333,0.166666667,0,0,0
15832773.3019.3019,0,0,0,0,0,0,0,0,0,0
15832773.3035.3019,0,0,0,0.428571429,0,0.428571429,0,0,0,0.142857143
15832939.3151.3151,0.2,0,0,0.2,0,0.4,0.2,0,0,0
15833000.3256.3256,0,0,0,0,0,0,1,0,0,0
15833036.3275.3275,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.125
27909300.43483.43483,0,0,0,0,0,1,0,0,0,0
27909300.43501.43483,0.076923077,0.076923077,0.076923077,0.153846154,0,0.384615385,0.076923077,0.076923077,0,0.076923077
27998025.43895.43895,0.142857143,0.142857143,0,0.142857143,0,0.285714286,0.285714286,0,0,0
28016892.43931.43931,0.111111111,0,0,0.333333333,0,0.444444444,0.111111111,0,0,0
27733774.39983.39983,0,0,0,0,0,0,0,0,0,0
27733774.40013.39983,0.090909091,0.090909091,0,0,0,0.363636364,0.272727273,0.090909091,0.090909091,0
27734163.40192.40192,0,0,0,0.25,0,0.5,0.25,0,0,0
27816079.40252.40252,0.0625,0.125,0,0.125,0,0.1875,0.25,0.0625,0.1875,0
338290689.2590.2590,0,0,0,0,0,0,0,0,0,0
338290689.2603.2590,0.142857143,0.142857143,0,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0.142857143
338315638.2666.2666,0.125,0.125,0,0.125,0,0.375,0.125,0.125,0,0
338319041.2754.2754,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0
338346179.2805.2805,0,0,0,0,0,0,0,0,0,0
258343447.8293.8293,0,0,0,0,0,0,0,0,0,0
258343447.8304.8293,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0,0
258442590.8389.8389,0,0.2,0,0.4,0,0,0.2,0.2,0,0
258566276.8473.8473,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0
258568268.8738.8738,0,0,0.2,0.2,0,0.4,0.2,0,0,0
258604796.8789.8789,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0
45234304.62193.62193,0,0,0,0,0,0,0,0,0,0
45234304.62215.62193,0.1,0.1,0,0.1,0,0.2,0.3,0.1,0.1,0
45330678.62495.62495,0,0,0,0.2,0,0.4,0,0.2,0.2,0
47647309.62495.62495,0,0,0,0,0,0,0,0,0,0
34475659.60604.60604,0,0,0,0,0,0,0,0,0,0
34475659.60612.60604,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333
34480504.60663.60663,0.2,0.2,0,0,0,0,0.4,0.2,0,0
34480730.60760.60760,0.2,0,0,0.2,0,0.2,0.4,0,0,0
34480890.60870.60870,0.222222222,0.166666667,0,0.055555556,0,0.055555556,0.277777778,0.111111111,0.111111111,0
34481870.61047.61047,0.16,0.04,0.04,0.24,0.04,0.12,0.2,0.08,0,0.08
34578948.61196.61196,0.142857143,0.142857143,0.142857143,0,0,0,0.285714286,0.142857143,0.142857143,0
34591966.61268.61268,0.052631579,0.105263158,0.157894737,0.105263158,0.052631579,0.157894737,0.210526316,0.052631579,0.052631579,0.052631579
34592756.61579.61579,0.117647059,0.176470588,0,0.058823529,0,0.176470588,0.352941176,0.058823529,0.058823529,0
34592905.61773.61773,0,0,0,0,0,0,0,0,0,0
92663499.3623.3623,0,0,0,0,0,0,0,0,0,0
92663499.3643.3623,0,0,0,0,0,1,0,0,0,0
92664524.3766.3766,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,0
92664737.3854.3854,0,0,0,0.333333333,0,0,0.333333333,0,0.333333333,0
92665388.3969.3969,0,0,0,0.5,0,0,0.5,0,0,0
92666148.3996.3996,0,0,0,0.125,0.125,0.125,0.25,0.375,0,0
92664561.3854.3854,0,0,0,0,0,0,0,0,0,0
92664561.3863.3854,0.142857143,0.142857143,0,0.142857143,0,0,0.285714286,0.142857143,0.142857143,0
92664727.3941.3941,0,0.2,0,0.2,0,0.2,0.2,0,0,0.2
92664864.4098.4098,0,0,0.166666667,0.333333333,0,0.333333333,0,0,0,0.166666667
92665085.4150.4150,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0
92665378.4179.4179,0,0,0,0,0,0,0,0,0,0
92665643.4225.4225,0,0,0,0,0,0,0,0,0,0
92665885.4263.4263,0,0,0,0.25,0,0.25,0.5,0,0,0
211717949.74386.74386,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,0
211717949.74403.74386,0.285714286,0,0,0.285714286,0,0.285714286,0.142857143,0,0,0
211741062.74540.74540,0,0,0,0,0,0,0.5,0.5,0,0
211887614.74614.74614,0,0,0,0,0,0,1,0,0,0
203483248.64123.64123,0,0,0,0,0,0,0,0,0,0
203483248.64133.64123,0.08,0.04,0.16,0.2,0.04,0.24,0.12,0.08,0,0.04
203494775.64550.64550,0.166666667,0.083333333,0,0.083333333,0,0.083333333,0.333333333,0.166666667,0.083333333,0
203503939.64709.64709,0.05,0.05,0.175,0.225,0.025,0.2,0.1,0.05,0.025,0.1
203507415.65166.65166,0,0,0,0,0,0,1,0,0,0
